Month,Month_Text,Route_name,Transect,Lat,Long,Crocs,Hab,Transect length,Air Temp Mean,Water Temp Mean,AT-WT,Relative Humidity Mean
8,Jul,Apaporis River T2,3,0.09732,-71.18223,0,1,8.1,23.95,24.75,-0.8,80
8,Jul,Churuco Lagoon,4,0.05548,-71.16232,0,2,3.9,23.8,25.45,-1.65,83
8,Jul,Arriba Lagoon,5,0.09198,-71.23895,0,2,6.7,24.9,25.45,-0.55,82.5
9,Aug,Apaporis River T1,1,0.06525,-71.21222,1,1,3.8,25,25.15,-0.15,83
9,Aug,Inana Lagoon,2,0.09583,-71.20312,9,2,3.5,26.7,25.4,1.3,83
9,Aug,Apaporis River T2,3,0.09732,-71.18223,3,1,8.1,24.8,25.4,-0.6,83.5
9,Aug,Churuco Lagoon,4,0.05548,-71.16232,13,2,3.9,26.05,25.45,0.6,83
9,Aug,Arriba Lagoon,5,0.09198,-71.23895,11,2,6.7,25.2,26.95,-1.75,82.5
10,Sep,Apaporis River T1,1,0.06525,-71.21222,0,1,3.8,25,25.15,-0.15,83
10,Sep,Inana Lagoon,2,0.09583,-71.20312,2,2,3.5,25.15,28.3,-3.15,84.5
10,Sep,Apaporis River T2,3,0.09732,-71.18223,4,1,8.1,25.05,28.75,-3.7,82.5
10,Sep,Churuco Lagoon,4,0.05548,-71.16232,14,2,3.9,25.05,27.85,-2.8,85.5
10,Sep,Arriba Lagoon,5,0.09198,-71.23895,11,2,6.7,25.5,28.35,-2.85,84
11,Oct,Apaporis River T1,1,0.06525,-71.21222,6,1,3.8,24.05,25.1,-1.05,83.5
11,Oct,Inana Lagoon,2,0.09583,-71.20312,26,2,3.5,24.2,29,-4.8,85.5
11,Oct,Apaporis River T2,3,0.09732,-71.18223,52,1,8.1,24.9,28.55,-3.65,86.5
11,Oct,Churuco Lagoon,4,0.05548,-71.16232,21,2,3.9,25.4,29.8,-4.4,81.5
11,Oct,Arriba Lagoon,5,0.09198,-71.23895,23,2,6.7,25.45,29.95,-4.5,85.5
12,Nov,Apaporis River T1,1,0.06525,-71.21222,4,1,3.8,26.1,27.15,-1.05,85.5
12,Nov,Inana Lagoon,2,0.09583,-71.20312,3,2,3.5,26.35,28.45,-2.1,88
12,Nov,Apaporis River T2,3,0.09732,-71.18223,9,1,8.1,24.835,27.4,-2.565,86
12,Nov,Churuco Lagoon,4,0.05548,-71.16232,10,2,3.9,26.1,27.35,-1.25,86.5
12,Nov,Arriba Lagoon,5,0.09198,-71.23895,7,2,6.7,25.2,28.1,-2.9,91
